,Class,Accuracy,Top 5 Accuracy,F1 score,Precision,Recall,Specificity
900,water tower,tensor(0.7428),0.94,0.9591837,0.9791667,0.94,0.99998
901,whiskey jug,tensor(0.7428),0.82,0.74999994,0.8684211,0.66,0.9998999
902,whistle,tensor(0.7428),0.96,0.7592593,0.70689654,0.82,0.99965966
903,wig,tensor(0.7428),0.86,0.78787875,0.79591835,0.78,0.9997998
904,window screen,tensor(0.7428),0.8,0.6796117,0.6603774,0.7,0.99963963
905,window shade,tensor(0.7428),0.84,0.59183675,0.6041667,0.58,0.9996196
906,Windsor tie,tensor(0.7428),0.76,0.520548,0.82608694,0.38,0.9999199
907,wine bottle,tensor(0.7428),0.74,0.4473684,0.65384614,0.34,0.9998198
908,wing,tensor(0.7428),0.96,0.63291144,0.86206895,0.5,0.9999199
909,wok,tensor(0.7428),0.84,0.51282054,0.71428573,0.4,0.99983984
910,wooden spoon,tensor(0.7428),0.86,0.7216495,0.7446808,0.7,0.99975973
911,"wool, woolen, woollen",tensor(0.7428),0.92,0.43478262,0.47619048,0.4,0.9995596
912,"worm fence, snake fence, snake-rail fence, Virginia fence",tensor(0.7428),0.92,0.75,0.67741936,0.84,0.9995996
913,wreck,tensor(0.7428),0.98,0.78787875,0.79591835,0.78,0.9997998
914,yawl,tensor(0.7428),0.96,0.877551,0.8958333,0.86,0.9998999
915,yurt,tensor(0.7428),1.0,0.9126213,0.8867925,0.94,0.9998799
916,"web site, website, internet site, site",tensor(0.7428),0.98,0.8135593,0.7058824,0.96,0.9995996
917,comic book,tensor(0.7428),0.86,0.6,0.675,0.54,0.99973977
918,"crossword puzzle, crossword",tensor(0.7428),0.92,0.8659794,0.89361703,0.84,0.9998999
919,street sign,tensor(0.7428),0.92,0.71186435,0.61764705,0.84,0.9994795
920,"traffic light, traffic signal, stoplight",tensor(0.7428),0.92,0.81553394,0.7924528,0.84,0.99977976
921,"book jacket, dust cover, dust jacket, dust wrapper",tensor(0.7428),0.96,0.58928573,0.5322581,0.66,0.9994194
922,menu,tensor(0.7428),0.9,0.82608694,0.9047619,0.76,0.9999199
923,plate,tensor(0.7428),0.92,0.44927534,0.35227272,0.62,0.99885887
924,guacamole,tensor(0.7428),0.94,0.7346939,0.75,0.72,0.99975973
925,consomme,tensor(0.7428),0.92,0.6271186,0.5441176,0.74,0.9993794
926,"hot pot, hotpot",tensor(0.7428),1.0,0.6478873,0.5,0.92,0.9990791
927,trifle,tensor(0.7428),1.0,0.7933884,0.6760563,0.96,0.99953955
928,"ice cream, icecream",tensor(0.7428),0.96,0.5473684,0.5777778,0.52,0.9996196
929,"ice lolly, lolly, lollipop, popsicle",tensor(0.7428),0.84,0.6213592,0.6037736,0.64,0.9995796
930,French loaf,tensor(0.7428),0.86,0.67307687,0.6481481,0.7,0.9996196
931,"bagel, beigel",tensor(0.7428),0.92,0.69473684,0.73333335,0.66,0.99975973
932,pretzel,tensor(0.7428),0.92,0.7173913,0.78571427,0.66,0.9998198
933,cheeseburger,tensor(0.7428),1.0,0.86,0.86,0.86,0.99985987
